Country Name,Country Code,Series Name,Series Code,2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],2021Q3 [YR2021Q3],2021Q4 [YR2021Q4],2022Q1 [YR2022Q1],2022Q2 [YR2022Q2],2022Q3 [YR2022Q3],2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4],2024Q1 [YR2024Q1],2024Q2 [YR2024Q2],2024Q3 [YR2024Q3]
Albania,ALB,"Gross PSD, General Gov., All maturities, All instruments, Nominal Value, US$",DP.DOD.DECT.CR.GG.CD,11149904624.3133,11376509445.1645,11256518129.7246,11940725225.6449,11703700357.8856,11114226642.8509,10618070532.2874,11754526029.9025,12116769545.0478,13209548159.7943,12764591829.3304,13347453411.5694,13102983428.6804,13355639816.3276,14107774025.113
Albania,ALB,"Gross PSD, Public Sector, All maturities, All instruments, Domestic creditors, Nominal Value, National Currency",DP.DOD.DECD.CR.PS,1172022919829.05,1171117860208.32,1203302047067.5,1299925786943.57,1301832612013.28,1309406580520.25,1331384043191.61,1352559858400.99,1355517400776.96,1433924898306.23,1448939748255.57,1416849145104.64,1375875043510.91,1413157122752.77,1459876769157.82
Albania,ALB,"Gross PSD, Public Sector, All maturities, All instruments, External creditors, Nominal Value, National Currency",DP.DOD.DECX.CR.PS,531257123584.814,519151667435.039,530065825513.531,611719403332.739,610534312675.763,598451741663.696,584368832174.185,555706768144.545,542204361177.907,563229080714.745,551860900414.379,532889841917.345,525791936814.657,499190948257.545,480595100763.918
Albania,ALB,"Gross PSD, Public Sector, All maturities, All instruments, Domestic currency, Nominal Value, National Currency",DP.DOD.DECN.CR.PS,980486869272.85,997297598829.69,1015057731437.28,1022689226804.78,1018972752009.66,1030325896075.93,1040282331630.93,1080916879105.83,1082316213105.83,1123115073022.73,1121762864994.61,1091024472176.96,1113200360000,1170484935000,1218548448000
Albania,ALB,"Gross PSD, Public Sector, All maturities, All instruments, Foreign currency, Nominal Value, National Currency",DP.DOD.DECF.CR.PS,722793174141.008,692971928813.674,718310141143.752,888955963471.537,893394172679.381,877532426108.019,875470543734.864,827349747439.709,815405548849.042,874038905998.238,879037783675.338,858714514845.025,788466620325.57,741863136010.311,721923421921.736
Albania,ALB,"Gross PSD, Public Sector, All maturities, All instruments, Nominal Value, National Currency",DP.DOD.DECT.CR.PS,1703280043413.86,1690269527643.36,1733367872581.04,1911645190276.31,1912366924689.04,1907858322183.95,1915752875365.8,1908266626545.54,1897721761954.87,1997153979020.97,2000800648669.95,1949738987021.98,1901666980325.57,1912348071010.31,1940471869921.74
Albania,ALB,"Gross PSD, Total, All maturities, All instruments, Domestic creditors, Nominal Value, US$",DP.DOD.DECD.CR.PS.CD,11171698787.8091,11359048110.653,11482985466.8146,12201293288.3759,11912816727.7936,11463899321.6621,11202221650.7498,12634842208.3231,13038836098.2778,14609525199.2484,14420180181.8418,15082490916.6094,14426706967.7143,15081719558.0302,16542513024.5142
Albania,ALB,"Gross PSD, Total, All maturities, All instruments, Domestic currency, Nominal Value, US$",DP.DOD.DECN.CR.PS.CD,9345981024.42903,9673109590.97662,9686589669.21729,9599110444.94818,9324421229.95663,9020538400.24452,8752901402.02718,10097308539.0549,10410890853.2689,11442843331.8669,11164040916.1224,11614056971.5997,11672437454.126,12491834950.5128,13807914474.6377
Albania,ALB,"Gross PSD, Total, All maturities, All instruments, External creditors, Nominal Value, US$",DP.DOD.DECX.CR.PS.CD,5063932166.47425,5035418694.81124,5058362682.637,5741687660.34108,5586880606.4766,5239465432.18084,4916860178.1589,5191095452.07422,5215509438.03297,5738452172.33568,5492246057.07009,5672661925.96544,5513179582.83168,5327544804.68666,5445836855.45677
Albania,ALB,"Gross PSD, Total, All maturities, All instruments, Foreign currency, Nominal Value, US$",DP.DOD.DECF.CR.PS.CD,6889649929.85424,6721357214.48762,6854758480.2343,8343870503.76888,8175276104.31352,7682826353.59848,7366180426.88148,7728629121.34245,7843454683.04196,8905134039.71718,8748385322.78942,9141095870.97517,8267449096.41995,7917429412.20398,8180435405.33326
Albania,ALB,"Gross PSD, Total, All maturities, All instruments, Nominal Value, US$",DP.DOD.DECT.CR.PS.CD,16235630954.2833,16394466805.4642,16541348149.4517,17942980948.717,17499697334.2701,16703364753.843,16119081828.9087,17825937660.3974,18254345536.3108,20347977371.5841,19912426238.9119,20755152842.5748,19939886550.546,20409264362.7168,21988349879.971
Albania,ALB,"Gross PSD, Total, Long-term, All instruments, Nominal Value, US$",DP.DOD.DLTC.CR.PS.CD,9403650682.88064,9658006205.75823,9783606305.48096,10622305615.5088,10364470362.5004,9979690742.01558,9349547999.45192,10081014520.6886,10196731818.4787,11284896597.0274,11079287193.0808,11630699880.9243,11717856247.5157,11919568952.8243,12854497835.7577
Albania,ALB,"Gross PSD, Total, Long-term, With payment due in more than one year, All instruments, Nominal Value, US$",DP.DOD.DLTC.CR.M1.PS.CD,8600732566.52641,8687872008.74851,8841915697.07845,9686409181.25746,9389810981.35533,9146070080.38504,8517468622.65495,9205308943.08657,9146972671.54312,10167009303.4323,9969711730.05254,10665563272.4854,10717243286.9501,10801762984.9121,11478228089.2421
