Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023]
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.3683808316243822,2.402155349277,3.694018680156957
Argentina,ARG,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.31729874518702367,0.33025748694953755,0.45835864064964005
Australia,AUS,GDP (constant LCU),NY.GDP.MKTP.KN,2381066000000,2482080000000,2567513000000
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1556735770437.2593,1690858246994.434,1728057316695.6077
Australia,AUS,GDP (current LCU),NY.GDP.MKTP.CN,2085822000000,2330329000000,2567513000000
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.111168147687863,4.2423855533613875,3.4419922000902545
Australia,AUS,GDP per capita (constant LCU),NY.GDP.PCAP.KN,92701.10208860968,95411.7756093462,96309.61431786431
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,60607.77886051659,64997.01365364751,64820.91178900262
Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.9673998372985722,2.92410064137691,0.9410145684681765
Australia,AUS,GDP per capita (current LCU),NY.GDP.PCAP.CN,81206.4840540615,89578.42923836142,96309.61431786431
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,58145.55136417153,65834.78489283574,70340.21716222304
Australia,AUS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1493492442755.9077,1712652362281.4014,1875196191636.4116
Australia,AUS,GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD,2085822000000,2330329000000,2567513000000
Australia,AUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,23.061267931779415,23.627951246369076,..
Australia,AUS,Trade (% of GDP),NE.TRD.GNFS.ZS,40.30248026916966,45.821770230727076,49.225184059438064
Australia,AUS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,65.72636591233577,63.280378006710635,63.574439545194124
Australia,AUS,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,25.693227897682547,26.205055166030206,..
Australia,AUS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,68.61760745049001,64.4311841005313,..
Australia,AUS,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,13.3578752832739,..,..
Australia,AUS,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.546875830739636,7.203828727840214,9.596557598600393
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.86391042204994,6.59409671341846,5.5970149253731
Australia,AUS,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,3.0799498600023,7.17553361510235,6.51199894950456
Australia,AUS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.0799498600023014,7.175533615102353,6.511998949504559
Australia,AUS,Real interest rate (%),FR.INR.RINR,..,..,..
Australia,AUS,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,..,..,..
Australia,AUS,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,1.0423459308335368,0.9872746415052173,0.9215341436821063
Australia,AUS,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,3.137208512357384,0.8453238796978615,0.2547372570763734
Australia,AUS,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,3.810871685119823,5.241405827245853,4.373298207253478
Australia,AUS,External balance on goods and services (current LCU),NE.RSB.GNFS.CN,79488000000,122142000000,112285000000
Australia,AUS,External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,..,131487000000,112285000000
Australia,AUS,External balance on goods and services (current US$),NE.RSB.GNFS.CD,59325202687.72544,88624742688.43333,75573099651.36157
Australia,AUS,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,38.92947098079318,42.69263856288104,38.11702271887231
Australia,AUS,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,85887678263.28749,111661270613.656,83419785233.5016
Australia,AUS,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,1068194840000,1089439990000,..
Australia,AUS,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,3.3207147516472566,2.724749634984853,..
Australia,AUS,Taxes on international trade (current LCU),GC.TAX.INTT.CN,18123000000,16945000000,..
Australia,AUS,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,56.596079,64.8795975,..
Australia,AUS,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,89608648117.7713,94028162311.76141,67997427735.238304
Australia,AUS,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,22.422718717129268,22.07842755250439,21.31385508077272
Australia,AUS,General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,467698000000,514500000000,547236000000
Australia,AUS,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,6.567264659432055,6.871561984111381,1.7225899633622106
Australia,AUS,General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,503379000000,537969000000,547236000000
Australia,AUS,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,349062482974.0818,373314913078.21185,368315632193.1914
Australia,AUS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-24337208092.7792,54381972493.26,-17885795877.910698
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,31518948092.7139,70364982117.0187,32501414006.7699
Australia,AUS,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,7181739999.93471,124746231212.731,14615618128.8593
Australia,AUS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2.0246819461122034,4.161495042064891,1.8808064809400609
Australia,AUS,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.46133326774636174,7.377687126314241,0.8457831802018753
